MW,nAT,nSK,nBT,nBO,nBM,RBF,nDB,nTB,nAB,nP,nS,nF,nCL,nX,H%,C%,N%,O%,X%,nCar
66.06,8,4,7,3,0,0,0,0,0,0,0,2,0,2,50,25,0,0,25,0
60.11,12,4,11,3,0,0.091,0,0,0,0,0,0,0,0,66.7,25,0,8.3,0,0
163,13,9,13,9,6,0,0,0,6,0,0,0,2,2,30.8,46.2,0,7.7,15.4,6
161.03,15,9,15,9,6,0,0,0,6,0,0,0,2,2,40,46.7,0,0,13.3,6
88.17,18,6,17,5,0,0.059,0,0,0,0,0,0,0,0,66.7,27.8,0,5.6,0,0
138.14,16,10,16,10,8,0.063,2,0,6,0,0,0,0,0,37.5,37.5,12.5,12.5,0,6
95.11,12,7,12,7,6,0,0,0,6,0,0,0,0,0,41.7,41.7,8.3,8.3,0,5
130.21,23,9,22,8,1,0.182,1,0,0,0,0,0,0,0,60.9,30.4,0,8.7,0,0
100.18,19,7,18,6,1,0.111,1,0,0,0,0,0,0,0,63.2,31.6,0,5.3,0,0
162.25,26,12,26,12,7,0.077,1,0,6,0,0,0,0,0,53.8,42.3,0,3.8,0,6
148.27,27,11,27,11,6,0.037,0,0,6,0,0,0,0,0,59.3,40.7,0,0,0,6
135.18,19,10,19,10,7,0.053,1,0,6,0,0,0,0,0,47.4,42.1,5.3,5.3,0,6
102.1,13,7,12,6,2,0.167,2,0,0,0,0,0,0,0,46.2,30.8,0,23.1,0,0
102.1,13,7,12,6,2,0.167,2,0,0,0,0,0,0,0,46.2,30.8,0,23.1,0,0
78.5,7,4,6,3,1,0,1,0,0,0,0,0,1,1,42.9,28.6,0,14.3,14.3,0
26.04,4,2,3,1,1,0,0,1,0,0,0,0,0,0,50,50,0,0,0,0
56.07,8,4,7,3,2,0.143,2,0,0,0,0,0,0,0,50,37.5,0,12.5,0,0
72.07,9,5,8,4,2,0.125,2,0,0,0,0,0,0,0,44.4,33.3,0,22.2,0,0
146.16,20,10,19,9,2,0.263,2,0,0,0,0,0,0,0,50,30,0,20,0,0
144.18,19,11,20,12,11,0,0,0,11,0,0,0,0,0,42.1,52.6,0,5.3,0,10
93.14,14,7,14,7,6,0,0,0,6,0,0,0,0,0,50,42.9,7.1,0,0,5
93.14,14,7,14,7,6,0,0,0,6,0,0,0,0,0,50,42.9,7.1,0,0,6
137.15,17,10,17,10,7,0.059,1,0,6,0,0,0,0,0,41.2,41.2,5.9,11.8,0,6
161.03,15,9,15,9,6,0,0,0,6,0,0,0,2,2,40,46.7,0,0,13.3,6
106.13,14,8,14,8,7,0.071,1,0,6,0,0,0,0,0,42.9,50,0,7.1,0,6
108.15,16,8,16,8,6,0.063,0,0,6,0,0,0,0,0,50,43.8,0,6.3,0,6
126.59,15,8,15,8,6,0,0,0,6,0,0,0,1,1,46.7,46.7,0,0,6.7,6
228.31,33,17,34,18,12,0.059,0,0,12,0,0,0,0,0,48.5,45.5,0,6.1,0,12
67.81,4,4,3,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0,75,0
123,11,4,10,3,0,0,0,0,0,0,0,0,0,1,63.6,27.3,0,0,9.1,0
90.14,16,6,15,5,0,0.2,0,0,0,0,0,0,0,0,62.5,25,0,12.5,0,0
116.18,20,8,19,7,1,0.211,1,0,0,0,0,0,0,0,60,30,0,10,0,0
94.5,8,5,7,4,1,0,1,0,0,0,0,0,1,1,37.5,25,0,25,12.5,0
112.94,7,5,6,4,1,0,1,0,0,0,0,0,2,2,28.6,28.6,0,14.3,28.6,0
80.52,9,4,8,3,0,0,0,0,0,0,0,0,1,1,55.6,22.2,0,11.1,11.1,0
157.56,14,10,14,10,8,0.071,2,0,6,0,0,0,1,1,28.6,42.9,7.1,14.3,7.1,6
108.53,11,6,10,5,1,0.1,1,0,0,0,0,0,1,1,45.5,27.3,0,18.2,9.1,0
116.53,6,5,5,4,2,0,2,0,0,0,1,0,1,1,16.7,0,0,50,16.7,0
100,4,4,3,3,3,0,3,0,0,0,0,0,0,0,0,0,0,75,0,0
120.21,21,9,21,9,6,0.048,0,0,6,0,0,0,0,0,57.1,42.9,0,0,0,6
85.07,9,6,8,5,2,0.125,1,1,0,0,0,0,0,0,33.3,33.3,11.1,22.2,0,0
61.47,3,3,2,2,1,0,0,1,0,0,0,0,1,1,0,33.3,33.3,0,33.3,0
184.41,9,9,9,9,6,0,0,0,6,0,0,0,3,3,0,33.3,33.3,0,33.3,3
84.18,18,6,18,6,0,0,0,0,0,0,0,0,0,0,66.7,33.3,0,0,0,0
100.18,19,7,19,7,0,0,0,0,0,0,0,0,0,0,63.2,31.6,0,5.3,0,0
98.16,17,7,17,7,1,0,1,0,0,0,0,0,0,0,58.8,35.3,0,5.9,0,0
46.08,9,3,8,2,0,0,0,0,0,0,0,0,0,0,66.7,22.2,0,11.1,0,0
132.13,17,9,16,8,2,0.25,2,0,0,0,0,0,0,0,47.1,29.4,0,23.5,0,0
126.15,13,7,12,6,2,0.167,2,0,0,0,1,0,0,0,46.2,15.4,0,30.8,0,0
62.15,9,3,8,2,0,0,0,0,0,0,1,0,0,0,66.7,22.2,0,0,0,0
78.15,10,4,9,3,1,0,1,0,0,0,1,0,0,0,60,20,0,10,0,0
87.14,15,6,14,5,1,0,1,0,0,0,0,0,0,0,60,26.7,6.7,6.7,0,0
56.92,12,4,11,3,0,0.091,0,0,0,0,0,0,0,0,66.7,16.7,8.3,0,0,0
45.1,10,3,9,2,0,0,0,0,0,0,0,0,0,0,70,20,10,0,0,0
88.12,14,6,14,6,0,0,0,0,0,0,0,0,0,0,57.1,28.6,0,14.3,0,0
101.22,22,7,21,6,0,0.19,0,0,0,0,0,0,0,0,68.2,27.3,4.5,0,0,0
148.23,26,10,25,9,0,0.2,0,0,0,0,0,0,0,0,61.5,26.9,0,11.5,0,0
393.4,50,27,49,26,5,0.327,5,0,0,0,0,0,0,0,46,28,6,20,0,0
292.28,36,20,35,19,4,0.314,4,0,0,0,0,0,0,0,44.4,27.8,5.6,22.2,0,0
88.12,14,6,13,5,1,0.154,1,0,0,0,0,0,0,0,57.1,28.6,0,14.3,0,0
